n_gt_030,n_gt_045,global_max_absCC
0,0,0.14699233323692446
0,0,0.15836619712877717
0,0,0.2821071683724803
0,0,0.2995841754695714
0,0,0.17579560667056815
0,0,0.2128032576355057
2,0,0.3577242484806494
0,0,0.27718499843691746
1,0,0.3243422551445199
1,0,0.3439142873178413
0,0,0.17500900620999743
0,0,0.1654762092831703
0,0,0.19624316499670383
0,0,0.23931195920888595
0,0,0.29026167247811385
7,0,0.40608313727940176
3,0,0.44204609462735583
1,0,0.3241862139056918
12,0,0.425669339451818
0,0,0.2391666151073658
0,0,0.2626052936658612
0,0,0.18885644989172737
0,0,0.20856121681134954
1,0,0.30870437845708826
4,2,0.5353433452536356
2,0,0.41151087151042476
0,0,0.2338985014720073
3,0,0.3118041390532257
0,0,0.2538620396800037
0,0,0.28849459845135916
0,0,0.22233721036498574
49,1,0.4875030398947747
0,0,0.1722073989315932
0,0,0.2611199128988785
0,0,0.16251802544303354
3,0,0.37923681689516237
0,0,0.25340385691780726
0,0,0.2266040918310493
5,0,0.40490188074784983
1,0,0.35990987193324625
0,0,0.19695005187632506
0,0,0.23348153305807648
1,0,0.3507260927372221
0,0,0.2993284437138515
0,0,0.15438383642650363
0,0,0.18461771722450063
130,32,0.6890399353357748
22,1,0.4888454082804883
0,0,0.23190044088331738
0,0,0.22511671726877183
0,0,0.21587212642907724
0,0,0.19248323909993567
0,0,0.29159680539420696
0,0,0.26474892626718305
0,0,0.24998949790095254
2,0,0.36806290114340207
0,0,0.19999725170616361
0,0,0.2124809837020619
0,0,0.18881044289737717
0,0,0.1903655708969353
0,0,0.17076428884589012
0,0,0.20217724517371116
1,0,0.3277945771712935
0,0,0.24943136647990252
0,0,0.19202284806829645
0,0,0.19007838930169707
1,0,0.39852017928200056
0,0,0.240085370999626
0,0,0.20656974953955962
9,0,0.36018112784602396
0,0,0.1640383286030142
0,0,0.16820846379797227
0,0,0.2056142997968232
1,0,0.3462129902768333
1,0,0.3016881018388852
0,0,0.28667403655865864
0,0,0.21173088870736959
0,0,0.2302786393018227
0,0,0.2098741558238364
1,0,0.3690312977047642
1,0,0.43935908070558594
0,0,0.1678260732521212
0,0,0.23591321595721346
0,0,0.21286912324841015
0,0,0.22049801024426444
0,0,0.18150157869215247
1,0,0.31453978992494885
0,0,0.1972119845174899
0,0,0.24004708783248996
84,13,0.628568486775478
0,0,0.21251488111624442
1,0,0.36143282499196916
0,0,0.22679914502410561
0,0,0.2621017295639753
0,0,0.24383078939546166
17,1,0.5231994154620222
0,0,0.276558239528929
1,0,0.3272837619162751
0,0,0.2500224226208802
0,0,0.19079337929121074
4,0,0.3996097005575726
0,0,0.1869254959966329
0,0,0.24363336530658306
0,0,0.16908744133749515
0,0,0.2868229143969955
1,0,0.3131977008700545
0,0,0.26078670187439174
18,2,0.5002616997089422
2,0,0.37595679233032475
0,0,0.26561998460751685
0,0,0.21091355685912808
0,0,0.26949433690207647
0,0,0.19536148750488527
0,0,0.19041608566222967
0,0,0.17404586377716783
9,0,0.3480323238483647
0,0,0.2357348922521857
0,0,0.15147907069262592
0,0,0.2350879923581323
0,0,0.19399507479714437
0,0,0.26431606577216127
0,0,0.23676916310608626
0,0,0.16092673586292455
1,0,0.30950822852909143
0,0,0.2724335103091587
0,0,0.27064700690986826
0,0,0.267371999975855
0,0,0.29752235105984737
0,0,0.20877547620917292
1,0,0.3738713967369535
0,0,0.2106185662707838
2,0,0.32583698136034206
0,0,0.28275849542102793
0,0,0.20467750790111833
0,0,0.16316973510921035
0,0,0.1869426914869819
0,0,0.1918374282079764
1,0,0.340947654992183
0,0,0.16702262019851907
0,0,0.18408111867541907
0,0,0.2375737491390101
1,0,0.3090189821327544
4,0,0.3523463509152818
29,0,0.3867577811886049
0,0,0.25251969099751786
0,0,0.1677651497457759
1,0,0.4097530677817391
1,0,0.3050136920096645
0,0,0.2185953590835812
