metric,description,classification
f0916318,Pediatric_Intensive_Care_Bed_Set_Up=2018,EXTENSIVE
f0921518,Rehabilitation_Care_Bed_Set_Up=2018,EXTENSIVE
f0930718,#_Full_Time_Equivalent_Total_Facility_Personnel=2018,EXTENSIVE
f0931418,#_Full_Time_Equivalent_Other_Trainees=2018,EXTENSIVE
f0931618,#_Full_Time_Equivalent_Registered_Nurse=2018,EXTENSIVE
f0931918,#_Full_Time_Equivalent_L.P.N.s_&_L.V.N.s=2018,EXTENSIVE
f0932318,#_Full_Time_Equivalent_All_Other_Personnel_Veteran_Hospital=2018,EXTENSIVE
f0932418,Total_Hospital_Personnel_Full_Time=2018,EXTENSIVE
f0932618,Total_Hospital_Personnel_Partial_Time=2018,EXTENSIVE
f0941518,Nursing_Home_Personnel_Total_Full_Time=2018,EXTENSIVE
f0941718,Nursing_Home_Personnel_Total_Partial_Time=2018,EXTENSIVE
f0953718,Distribution_Hospital_By_00_04_Services=2018,EXTENSIVE
f0953918,Distribution_Hospital_By_05_14_Services=2018,EXTENSIVE
f0954118,Distribution_Hospital_By_15_24_Services=2018,EXTENSIVE
f0954318,Distribution_Hospital_By_25+_Services=2018,EXTENSIVE
f0954518,Inpatient_Days=2018,EXTENSIVE
f0954618,Inpatient_Days_in_State_General_Hospital=2018,EXTENSIVE
f0954718,Inpatient_Days_in_Short_Term_Non_General_Long_Term_Hospital=2018,EXTENSIVE
f0954818,Inpatient_Days_in_Short_Term_Community=2018,EXTENSIVE
f0955218,Inpatient_Days_in_Veteran_Hospital=2018,EXTENSIVE
f0956618,Outpatient_Visits_in_State_General_Hospital=2018,EXTENSIVE
f0956718,Outpatient_Visits_in_State_Non_General_Hospital=2018,EXTENSIVE
f0956818,Outpatient_Visits_in_Long_Term_Hospital=2018,EXTENSIVE
f0957118,Outpatient_Visits_in_Veteran_Hospital=2018,EXTENSIVE
f0957218,Emergency_Department_Visits=2018,EXTENSIVE
f0957518,Outpatient_Visits_Other=2018,EXTENSIVE
f0957718,Total_Medicare_Inpatient_Days=2018,EXTENSIVE
f0958318,#_Surgical_Operations_Inpatient=2018,EXTENSIVE
f0958718,#_Surgical_Operations_Total=2018,EXTENSIVE
f0959318,#_Facilities_Reporting_Expense=2018,EXTENSIVE
f0959618,Total_Reporting_Facility_Expense_(1000's)=2018,EXTENSIVE
f0960718,#_Facility_Reporting_Payroll_Expense=2018,EXTENSIVE
f0960918,Total_Reporting_Payroll_Expense(1000's)=2018,EXTENSIVE
f0961918,Total_Births_In_Hospitals=2018,EXTENSIVE
f0962318,#_Full_Time_Equivalent_Total_Nursing_Home_Personnel=2018,EXTENSIVE
f0970618,Total_Medicaid_Inpatient_Days=2018,EXTENSIVE
f0970718,#_Surgical_Operations_Outpatient=2018,EXTENSIVE
f0972110,Land_Area_in_Square_Miles=2010,LAND
f0972610,Husband_Wife_Families=2010,EXTENSIVE
f0977818,Personal_Income_(by_Resident)_(1000's)=2018,EXTENSIVE
f0978118,Per_Capita_Personal_Income=2018,INTENSIVE
f0978710,Health_Professions_Shortage_Area_Code_Primary_Care_12_10=2010,INTENSIVE
f0978715,Health_Professions_Shortage_Area_Code_Primary_Care_06_15=2015,INTENSIVE
f0978716,Health_Professions_Shortage_Area_Code_Primary_Care_05_16=2016,INTENSIVE
f0978717,Health_Professions_Shortage_Area_Code_Primary_Care_05_17=2017,INTENSIVE
f0978718,Health_Professions_Shortage_Area_Code_Primary_Care_05_18=2018,INTENSIVE
f0978719,Health_Professions_Shortage_Area_Code_Primary_Care_05_19=2019,INTENSIVE
f0978720,Health_Professions_Shortage_Area_Code_Primary_Care_05_20=2020,INTENSIVE
f0979210,Health_Professions_Shortage_Area_Code_Dentists_12_10=2010,EXTENSIVE
f0979215,Health_Professions_Shortage_Area_Code_Dentists_06_15=2015,EXTENSIVE
f0979216,Health_Professions_Shortage_Area_Code_Dentists_05_16=2016,EXTENSIVE
f0979217,Health_Professions_Shortage_Area_Code_Dentists_05_17=2017,EXTENSIVE
f0979218,Health_Professions_Shortage_Area_Code_Dentists_05_18=2018,EXTENSIVE
f0979219,Health_Professions_Shortage_Area_Code_Dentists_05_19=2019,EXTENSIVE
f0979220,Health_Professions_Shortage_Area_Code_Dentists_05_20=2020,EXTENSIVE
f0981118,Radiology_Total=2018,EXTENSIVE
f0981318,Radiology_Patient_Care_Office_Based=2018,EXTENSIVE
f0981518,Radiology_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0981618,Nuclear_Medical_Medicine_Total=2018,EXTENSIVE
f0981818,Nuclear_Medical_Medicine_Patient_Care_Office_Based=2018,EXTENSIVE
f0982018,Nuclear_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0982118,Other_Specialty_Total=2018,EXTENSIVE
f0982318,Other_Specialty_Patient_Care_Office_Based=2018,EXTENSIVE
f0982518,Other_Specialty_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0982618,Emergency_Medical_Medicine_Total=2018,EXTENSIVE
f0982818,Emergency_Medical_Medicine_Patient_Care_Office_Based=2018,EXTENSIVE
f0983018,Emergency_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0994718,Medical_Doctors_General_Practice_Total=2018,EXTENSIVE
f0994918,Medical_Doctors_General_Practice_Patient_Care_Office_Based=2018,EXTENSIVE
f0995018,Medical_Doctors_General_Practice_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f0995118,Medical_Doctors_General_Practice_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f0995218,Medical_Doctors_General_Practice_Administration=2018,EXTENSIVE
f0995318,Medical_Doctors_General_Practice_Teaching=2018,EXTENSIVE
f0995518,Medical_Doctors_General_Practice_Other=2018,EXTENSIVE
f0997718,Cardiovas_Disease_Administration=2018,EXTENSIVE
f0997818,Cardiovas_Disease_Teaching=2018,EXTENSIVE
f0998018,Cardiovas_Disease_Other=2018,EXTENSIVE
f0998318,Dermatology_Administration=2018,EXTENSIVE
f0998418,Dermatology_Teaching=2018,EXTENSIVE
f0998618,Dermatology_Other=2018,EXTENSIVE
f0998918,Gastroenterology_Administration=2018,EXTENSIVE
f0999018,Gastroenterology_Teaching=2018,EXTENSIVE
f0999218,Gastroenterology_Other=2018,EXTENSIVE
f1001318,Pediatric_Cardiolgy_Administration=2018,EXTENSIVE
f1001418,Pediatric_Cardiolgy_Teaching=2018,EXTENSIVE
f1001618,Pediatric_Cardiolgy_Other=2018,EXTENSIVE
f1001918,Pulmonary_Disease_Administration=2018,EXTENSIVE
f1002018,Pulmonary_Disease_Teaching=2018,EXTENSIVE
f1002218,Pulmonary_Disease_Other=2018,EXTENSIVE
f1002718,General_Surgical_Administration=2018,EXTENSIVE
f1002818,General_Surgical_Teaching=2018,EXTENSIVE
f1003018,General_Surgical_Other=2018,EXTENSIVE
f1003318,Neurolgcal_Surgical_Administration=2018,EXTENSIVE
f1003418,Neurolgcal_Surgical_Teaching=2018,EXTENSIVE
f1003618,Neurolgcal_Surgical_Other=2018,EXTENSIVE
f1004518,Ophthalmolgy_Administration=2018,EXTENSIVE
f1004618,Ophthalmolgy_Teaching=2018,EXTENSIVE
f1004818,Ophthalmolgy_Other=2018,EXTENSIVE
f1005118,Orthopedic_Surgical_Administration=2018,EXTENSIVE
f1005218,Orthopedic_Surgical_Teaching=2018,EXTENSIVE
f1005418,Orthopedic_Surgical_Other=2018,EXTENSIVE
f1005718,Otolaryngolgy_Administration=2018,EXTENSIVE
f1005818,Otolaryngolgy_Teaching=2018,EXTENSIVE
f1006018,Otolaryngolgy_Other=2018,EXTENSIVE
f1006318,Plastic_Surgical_Administration=2018,EXTENSIVE
f1006418,Plastic_Surgical_Teaching=2018,EXTENSIVE
f1006618,Plastic_Surgical_Other=2018,EXTENSIVE
f1006918,Colon_Rectal_Surgical_Administration=2018,EXTENSIVE
f1007018,Colon_Rectal_Surgical_Teaching=2018,EXTENSIVE
f1007218,Colon_Rectal_Surgical_Other=2018,EXTENSIVE
f1007518,Thoracic_Surgical_Administration=2018,EXTENSIVE
f1007618,Thoracic_Surgical_Teaching=2018,EXTENSIVE
f1007818,Thoracic_Surgical_Other=2018,EXTENSIVE
f1008118,Urology_Administration=2018,EXTENSIVE
f1008218,Urology_Teaching=2018,EXTENSIVE
f1008418,Urology_Other=2018,EXTENSIVE
f1008918,Aerospace_Medical_Medicine_Administration=2018,EXTENSIVE
f1009018,Aerospace_Medical_Medicine_Teaching=2018,EXTENSIVE
f1009218,Aerospace_Medical_Medicine_Other=2018,EXTENSIVE
f1009518,Anesthesiolgy_Administration=2018,EXTENSIVE
f1009618,Anesthesiolgy_Teaching=2018,EXTENSIVE
f1009818,Anesthesiolgy_Other=2018,EXTENSIVE
f1010118,Child_Psychiatric_Administration=2018,EXTENSIVE
f1010218,Child_Psychiatric_Teaching=2018,EXTENSIVE
f1010418,Child_Psychiatric_Other=2018,EXTENSIVE
f1010718,Diagnostic_Radiology_Administration=2018,EXTENSIVE
f1010818,Diagnostic_Radiology_Teaching=2018,EXTENSIVE
f1011018,Diagnostic_Radiology_Other=2018,EXTENSIVE
f1011318,Forensic_Pathology_Anatomic_Clinical_Administration=2018,EXTENSIVE
f1011418,Forensic_Pathology_Anatomic_Clinical_Teaching=2018,EXTENSIVE
f1011618,Forensic_Pathology_Anatomic_Clinical_Other=2018,EXTENSIVE
f1011918,Neurology_Administration=2018,EXTENSIVE
f1012018,Neurology_Teaching=2018,EXTENSIVE
f1012218,Neurology_Other=2018,EXTENSIVE
f1012518,Occupational_Medical_Medicine_Administration=2018,EXTENSIVE
f1012618,Occupational_Medical_Medicine_Teaching=2018,EXTENSIVE
f1012818,Occupational_Medical_Medicine_Other=2018,EXTENSIVE
f1013118,Psychiatry_Administration=2018,EXTENSIVE
f1013218,Psychiatry_Teaching=2018,EXTENSIVE
f1013418,Psychiatry_Other=2018,EXTENSIVE
f1013718,Pathology_Anatomic_Clinical_Anatomical_Clinic_Administration=2018,EXTENSIVE
f1013818,Pathology_Anatomic_Clinical_Anatomical_Clinic_Teaching=2018,EXTENSIVE
f1014018,Pathology_Anatomic_Clinical_Anatomical_Clinic_Other=2018,EXTENSIVE
f1014318,Physician_Medical_Medicine_Rehabilitation_Administration=2018,EXTENSIVE
f1014418,Physician_Medical_Medicine_Rehabilitation_Teaching=2018,EXTENSIVE
f1014618,Physician_Medical_Medicine_Rehabilitation_Other=2018,EXTENSIVE
f1014918,General_Prevention_Medical_Medicine_Administration=2018,EXTENSIVE
f1015018,General_Prevention_Medical_Medicine_Teaching=2018,EXTENSIVE
f1015218,General_Prevention_Medical_Medicine_Other=2018,EXTENSIVE
f1015518,Public_Health_Administration=2018,EXTENSIVE
f1015618,Public_Health_Teaching=2018,EXTENSIVE
f1015818,Public_Health_Other=2018,EXTENSIVE
f1016118,Radiology_Administration=2018,EXTENSIVE
f1016218,Radiology_Teaching=2018,EXTENSIVE
f1016418,Radiology_Other=2018,EXTENSIVE
f1016718,Nuclear_Medical_Medicine_Administration=2018,EXTENSIVE
f1016818,Nuclear_Medical_Medicine_Teaching=2018,EXTENSIVE
f1017018,Nuclear_Medical_Medicine_Other=2018,EXTENSIVE
f1017318,Radiation_Oncology_Administration=2018,EXTENSIVE
f1017418,Radiation_Oncology_Teaching=2018,EXTENSIVE
f1017618,Radiation_Oncology_Other=2018,EXTENSIVE
f1017918,Other_Specialty_Administration=2018,EXTENSIVE
f1018018,Other_Specialty_Teaching=2018,EXTENSIVE
f1018218,Other_Specialty_Other=2018,EXTENSIVE
f1018518,Emergency_Medical_Medicine_Administration=2018,EXTENSIVE
f1018618,Emergency_Medical_Medicine_Teaching=2018,EXTENSIVE
f1018818,Emergency_Medical_Medicine_Other=2018,EXTENSIVE
f1019118,Unspecified_Administration=2018,EXTENSIVE
f1019218,Unspecified_Teaching=2018,EXTENSIVE
f1019418,Unspecified_Other=2018,EXTENSIVE
f1031318,#_Total_Facility_Medicare_Inpatient_Discharge=2018,EXTENSIVE
f1031518,#_Total_Facility_Medicaid_Inpatient_Discharge=2018,EXTENSIVE
f1033718,Total_Facility_Personnel_Full_Time=2018,EXTENSIVE
f1033918,Total_Facility_Personnel_Partial_Time=2018,EXTENSIVE
f1049818,#_Active_Dentists_<_35=2018,EXTENSIVE
f1050518,#_Active_Dentists_65_+=2018,EXTENSIVE
f1050618,Dentists_Total_Private_Practice_Full_Time=2018,EXTENSIVE
f1050718,Dentists_Total_Private_Practice_Partial_Time=2018,EXTENSIVE
f1067718,#_General_Medical_Surgical_Long_Term_Hospital=2018,EXTENSIVE
f1067818,#_Psychiatric_Long_Term_Hospital=2018,EXTENSIVE
f1067918,#_Rehabilitation_Long_Term_Hospital=2018,EXTENSIVE
f1068018,#_Chronic_Disease_Long_Term_Hospital=2018,EXTENSIVE
f1068218,#_Intellectual_Disability_Long_Term_Hospital=2018,EXTENSIVE
f1068318,#_Children's_Psychiatric_Long_Term_Hospital=2018,EXTENSIVE
f1068418,Inpatient_Days_in_Long_Term_General_Medical_Medicine_Surgical=2018,EXTENSIVE
f1068518,Inpatient_Days_in_Long_Term_Psychiatric=2018,EXTENSIVE
f1068618,Inpatient_Days_in_Long_Term_Rehabilitation=2018,EXTENSIVE
f1068718,Inpatient_Day_in_Long_Term_Chronic_Disease=2018,EXTENSIVE
f1068918,Inpatient_Day_in_Long_Term_Intellectual_Disability=2018,EXTENSIVE
f1069018,Inpatient_Days_in_Long_Term_Children_Psychiatric=2018,EXTENSIVE
f1074918,Medical_Doctors_General_Practice_<_35=2018,EXTENSIVE
f1075018,Medical_Doctors_General_Practice_35_44=2018,EXTENSIVE
f1075118,Medical_Doctors_General_Practice_45_54=2018,EXTENSIVE
f1075218,Medical_Doctors_General_Practice_55_64=2018,EXTENSIVE
f1075918,Emergency_Medicine_<_35=2018,EXTENSIVE
f1076018,Emergency_Medicine_35_44=2018,EXTENSIVE
f1076118,Emergency_Medicine_45_54=2018,EXTENSIVE
f1076218,Emergency_Medicine_55_64=2018,EXTENSIVE
f1076418,Nuclear_Medicine_<_35=2018,EXTENSIVE
f1076518,Nuclear_Medicine_35_44=2018,EXTENSIVE
f1076618,Nuclear_Medicine_45_54=2018,EXTENSIVE
f1076718,Nuclear_Medicine_55_64=2018,EXTENSIVE
f1077318,Radiology_<_35=2018,EXTENSIVE
f1077418,Radiology_35_44=2018,EXTENSIVE
f1077518,Radiology_45_54=2018,EXTENSIVE
f1077618,Radiology_55_64=2018,EXTENSIVE
f1077718,Other_Specialty_<_35=2018,EXTENSIVE
f1077818,Other_Specialty_35_44=2018,EXTENSIVE
f1077918,Other_Specialty_45_54=2018,EXTENSIVE
f1078018,Other_Specialty_55_64=2018,EXTENSIVE
f1106818,M.D.'s_Total_Research=2018,EXTENSIVE
f1106918,Medical_Doctors_Total_General_Practice_Total_Patient_Care=2018,EXTENSIVE
f1107118,Medical_Doctors_Total_General_Practice_Research=2018,EXTENSIVE
f1107218,Medical_Doctors_General_Practice_Total_Patient_Care=2018,EXTENSIVE
f1107418,Medical_Doctors_General_Practice_Research=2018,EXTENSIVE
f1107818,Medical_Medicine_Specialty_Total_Total_Patient_Care=2018,EXTENSIVE
f1108018,Medical_Medicine_Specialty_Total_Research=2018,EXTENSIVE
f1108418,Cardiovas_Disease_Total_Patient_Care=2018,EXTENSIVE
f1108618,Cardiovas_Disease_Research=2018,EXTENSIVE
f1108718,Dermatology_Total_Patient_Care=2018,EXTENSIVE
f1108918,Dermatology_Research=2018,EXTENSIVE
f1109018,Gastroenterology_Total_Patient_Care=2018,EXTENSIVE
f1109218,Gastroenterology_Research=2018,EXTENSIVE
f1109318,General_Internal_Medical_Medicine_Total_Patient_Care=2018,EXTENSIVE
f1109518,General_Internal_Medical_Medicine_Research=2018,EXTENSIVE
f1111218,Pediatric_Cardiolgy_Total_Patient_Care=2018,EXTENSIVE
f1111418,Pediatric_Cardiolgy_Research=2018,EXTENSIVE
f1111518,Pulmonary_Disease_Total_Patient_Care=2018,EXTENSIVE
f1111718,Pulmonary_Disease_Research=2018,EXTENSIVE
f1111818,Surgical_Specialty_Total_Total_Patient_Care=2018,EXTENSIVE
f1112018,Surgical_Specialty_Total_Research=2018,EXTENSIVE
f1112118,General_Surgical_Total_Patient_Care=2018,EXTENSIVE
f1112318,General_Surgical_Research=2018,EXTENSIVE
f1112418,Neurolgcal_Surgical_Total_Patient_Care=2018,EXTENSIVE
f1112618,Neurolgcal_Surgical_Research=2018,EXTENSIVE
f1113018,Ophthalmolgy_Total_Patient_Care=2018,EXTENSIVE
f1113218,Ophthalmolgy_Research=2018,EXTENSIVE
f1113318,Orthopedic_Surgical_Total_Patient_Care=2018,EXTENSIVE
f1113518,Orthopedic_Surgical_Research=2018,EXTENSIVE
f1113618,Otolaryngolgy_Total_Patient_Care=2018,EXTENSIVE
f1113818,Otolaryngolgy_Research=2018,EXTENSIVE
f1113918,Plastic_Surgical_Total_Patient_Care=2018,EXTENSIVE
f1114118,Plastic_Surgical_Research=2018,EXTENSIVE
f1114218,Colon_Rectal_Surgical_Total_Patient_Care=2018,EXTENSIVE
f1114418,Colon_Rectal_Surgical_Research=2018,EXTENSIVE
f1114518,Thoracic_Surgical_Total_Patient_Care=2018,EXTENSIVE
f1114718,Thoracic_Surgical_Research=2018,EXTENSIVE
f1114818,Urology_Total_Patient_Care=2018,EXTENSIVE
f1115018,Urology_Research=2018,EXTENSIVE
f1115118,Other_Specialty_Total_Total_Patient_Care=2018,EXTENSIVE
f1115318,Other_Specialty_Total_Research=2018,EXTENSIVE
f1115418,Aerospace_Medical_Medicine_Total_Patient_Care=2018,EXTENSIVE
f1115618,Aerospace_Medical_Medicine_Research=2018,EXTENSIVE
f1115718,Anesthesiolgy_Total_Patient_Care=2018,EXTENSIVE
f1115918,Anesthesiolgy_Research=2018,EXTENSIVE
f1116018,Child_Psychiatric_Total_Patient_Care=2018,EXTENSIVE
f1116218,Child_Psychiatric_Research=2018,EXTENSIVE
f1116318,Diagnostic_Radiology_Total_Patient_Care=2018,EXTENSIVE
f1116518,Diagnostic_Radiology_Research=2018,EXTENSIVE
f1116618,Emergency_Medical_Medicine_Total_Patient_Care=2018,EXTENSIVE
f1116818,Emergency_Medical_Medicine_Research=2018,EXTENSIVE
f1116918,Forensic_Pathology_Anatomic_Clinical_Total_Patient_Care=2018,EXTENSIVE
f1117118,Forensic_Pathology_Anatomic_Clinical_Research=2018,EXTENSIVE
f1117218,Neurology_Total_Patient_Care=2018,EXTENSIVE
f1117418,Neurology_Research=2018,EXTENSIVE
f1117518,Nuclear_Medical_Medicine_Total_Patient_Care=2018,EXTENSIVE
f1117718,Nuclear_Medical_Medicine_Research=2018,EXTENSIVE
f1117818,Occupational_Medical_Medicine_Total_Patient_Care=2018,EXTENSIVE
f1118018,Occupational_Medical_Medicine_Research=2018,EXTENSIVE
f1118118,Psychiatry_Total_Patient_Care=2018,EXTENSIVE
f1118318,Psychiatry_Research=2018,EXTENSIVE
f1118418,Pathology_Anatomic_Clinical_Anatomical_Clinic_Total_Patient_Care=2018,EXTENSIVE
f1118618,Pathology_Anatomic_Clinical_Anatomical_Clinic_Research=2018,EXTENSIVE
f1118718,Physician_Medical_Medicine_Rehabilitation_Total_Patient_Care=2018,EXTENSIVE
f1118918,Physician_Medical_Medicine_Rehabilitation_Research=2018,EXTENSIVE
f1119018,General_Prevention_Medical_Medicine_Total_Patient_Care=2018,EXTENSIVE
f1119218,General_Prevention_Medical_Medicine_Research=2018,EXTENSIVE
f1119318,Public_Health_Total_Patient_Care=2018,EXTENSIVE
f1119518,Public_Health_Research=2018,EXTENSIVE
f1119618,Radiology_Total_Patient_Care=2018,EXTENSIVE
f1119818,Radiology_Research=2018,EXTENSIVE
f1119918,Radiation_Oncology_Total_Patient_Care=2018,EXTENSIVE
f1120118,Radiation_Oncology_Research=2018,EXTENSIVE
f1120218,Other_Specialty_Total_Patient_Care=2018,EXTENSIVE
f1120418,Other_Specialty_Research=2018,EXTENSIVE
f1120518,Unspecified_Total_Patient_Care=2018,EXTENSIVE
f1120718,Unspecified_Research=2018,EXTENSIVE
f1120818,General_Internal_Medical_Medicine_Total=2018,EXTENSIVE
f1120918,General_Internal_Medical_Medicine_Patient_Care_Office_Based=2018,EXTENSIVE
f1121118,General_Internal_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1121218,General_Internal_Medical_Medicine_Administration=2018,EXTENSIVE
f1121318,General_Internal_Medical_Medicine_Teaching=2018,EXTENSIVE
f1121418,General_Internal_Medical_Medicine_Other=2018,EXTENSIVE
f1121518,M.D.'s_Total_Patient_Care_Non_Federal=2018,EXTENSIVE
f1121618,Medical_Doctors_Total_Hospital_Based_Patient_Care_Non_Federal=2018,EXTENSIVE
f1121718,M.D.'s_Total_Other_Professional_Activity=2018,EXTENSIVE
f1126918,M.D.'s_Total_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1127318,Medical_Doctors_Total_General_Practice_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1127518,Medical_Doctors_Total_General_Practice_Other_Professional_Active=2018,EXTENSIVE
f1127718,General_Internal_Medical_Medicine_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1127818,General_Internal_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1127918,General_Internal_Medical_Medicine_Other_Professional_Active=2018,EXTENSIVE
f1129118,General_Surgical_Other_Professional_Activity=2018,EXTENSIVE
f1129718,Other_Surgical_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1129818,Other_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1129918,Other_Surgical_Other_Professional_Activity=2018,EXTENSIVE
f1130318,Psychiatry_Other_Professional_Activity=2018,EXTENSIVE
f1130518,Other_Other_Specialty_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1130618,Other_Other_Specialty_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1130718,Other_Other_Specialty_Other_Professional_Active=2018,EXTENSIVE
f1130818,#_Full_Time_Equivalent_Physicians_&_Dentists=2018,EXTENSIVE
f1131818,#_Active_Dentists_35_44=2018,EXTENSIVE
f1131918,#_Active_Dentists_45_54=2018,EXTENSIVE
f1133718,Skilled_Nursing_Care_Beds_Set_Up=2018,EXTENSIVE
f1133918,Intermediate_Care_Beds_Set_Up=2018,EXTENSIVE
f1138618,#_State_General_Hospital_006_049_Beds=2018,EXTENSIVE
f1138718,#_State_General_Hospital_050_099_Beds=2018,EXTENSIVE
f1138818,#_State_General_Hospital_100_199_Beds=2018,EXTENSIVE
f1138918,#_State_General_Hospital_200_299_Beds=2018,EXTENSIVE
f1139018,#_State_General_Hospital_300+_Beds=2018,EXTENSIVE
f1139118,Distribution_Hospital_By_00_39%_Utilization_Rate=2018,EXTENSIVE
f1139218,Distribution_Hospital_By_40_59%_Utilization_Rate=2018,EXTENSIVE
f1139318,Distribution_Hospital_By_60_79%_Utilization_Rate=2018,EXTENSIVE
f1139418,Distribution_Hospital_By_80+%_Utilization_Rate=2018,EXTENSIVE
f1139620,Veteran_Population_Estimate=2020,EXTENSIVE
f1139790,Census_Population_(Hundreds)=1990,EXTENSIVE
f1139918,#_Short_Term_Non_General_Long_Term_Hospital_006_049_Beds=2018,EXTENSIVE
f1140018,#_Short_Term_Non_General_Long_Term_Hospital_050_099_Beds=2018,EXTENSIVE
f1140118,#_Short_Term_Non_General_Long_Term_Hospital_100_199_Beds=2018,EXTENSIVE
f1140218,#_Short_Term_Non_General_Long_Term_Hospital_200_299_Beds=2018,EXTENSIVE
f1140318,#_Short_Term_Non_General_Long_Term_Hospital_300+_Beds=2018,EXTENSIVE
f1140418,#_Veteran_Hospital_006_049_Beds=2018,EXTENSIVE
f1140518,#_Veteran_Hospital_050_099_Beds=2018,EXTENSIVE
f1140618,#_Veteran_Hospital_100_199_Beds=2018,EXTENSIVE
f1140718,#_Veteran_Hospital_200_299_Beds=2018,EXTENSIVE
f1140818,#_Veteran_Hospital_300+_Beds=2018,EXTENSIVE
f1143718,Psychiatric_Care_Beds_Set_Up=2018,EXTENSIVE
f1143918,Alcohol_Chemical_Dependent_Care_Bed_Set_Up=2018,EXTENSIVE
f1144310,Population_White_Male_5_9=2010,EXTENSIVE
f1144410,Population_White_Female_5_9=2010,EXTENSIVE
f1144510,Population_White_Male_10_14=2010,EXTENSIVE
f1144610,Population_White_Female_10_14=2010,EXTENSIVE
f1144710,Population_White_Male_15_19=2010,EXTENSIVE
f1144810,Population_White_Female_15_19=2010,EXTENSIVE
f1144910,Population_White_Male_20_24=2010,EXTENSIVE
f1145010,Population_White_Female_20_24=2010,EXTENSIVE
f1145110,Population_White_Male_25_29=2010,EXTENSIVE
f1145210,Population_White_Female_25_29=2010,EXTENSIVE
f1145310,Population_White_Male_30_34=2010,EXTENSIVE
f1145410,Population_White_Female_30_34=2010,EXTENSIVE
f1145510,Population_White_Male_35_44=2010,EXTENSIVE
f1145610,Population_White_Female_35_44=2010,EXTENSIVE
f1145710,Population_White_Male_45_54=2010,EXTENSIVE
f1145810,Population_White_Female_45_54=2010,EXTENSIVE
f1145910,Population_White_Male_55_59=2010,EXTENSIVE
f1146010,Population_White_Female_55_59=2010,EXTENSIVE
f1146310,Population_White_Male_65_74=2010,EXTENSIVE
f1146410,Population_White_Female_65_74=2010,EXTENSIVE
f1146510,Population_White_Male_75_84=2010,EXTENSIVE
f1146610,Population_White_Female_75_84=2010,EXTENSIVE
f1146910,Population_Black_African_American_Male_5_9=2010,EXTENSIVE
f1147010,Population_Black_African_American_Female_5_9=2010,EXTENSIVE
f1147110,Population_Black_African_American_Male_10_14=2010,EXTENSIVE
f1147210,Population_Black_African_American_Female_10_14=2010,EXTENSIVE
f1147310,Population_Black_African_American_Male_15_19=2010,EXTENSIVE
f1147410,Population_Black_African_American_Female_15_19=2010,EXTENSIVE
f1147510,Population_Black_African_American_Male_20_24=2010,EXTENSIVE
f1147610,Population_Black_African_American_Female_20_24=2010,EXTENSIVE
f1147710,Population_Black_African_American_Male_25_29=2010,EXTENSIVE
f1147810,Population_Black_African_American_Female_25_29=2010,EXTENSIVE
f1147910,Population_Black_African_American_Male_30_34=2010,EXTENSIVE
f1148010,Population_Black_African_American_Female_30_34=2010,EXTENSIVE
f1148110,Population_Black_African_American_Male_35_44=2010,EXTENSIVE
f1148210,Population_Black_African_American_Female_35_44=2010,EXTENSIVE
f1148310,Population_Black_African_American_Male_45_54=2010,EXTENSIVE
f1148410,Population_Black_African_American_Female_45_54=2010,EXTENSIVE
f1148510,Population_Black_African_American_Male_55_59=2010,EXTENSIVE
f1148610,Population_Black_African_American_Female_55_59=2010,EXTENSIVE
f1148910,Population_Black_African_American_Male_65_74=2010,EXTENSIVE
f1149010,Population_Black_African_American_Female_65_74=2010,EXTENSIVE
f1149110,Population_Black_African_American_Male_75_84=2010,EXTENSIVE
f1149210,Population_Black_African_American_Female_75_84=2010,EXTENSIVE
f1149310,Population_American_Indian_Alaska_Native_Male_<_5=2010,EXTENSIVE
f1149410,Population_American_Indian_Alaska_Native_Female_<_5=2010,EXTENSIVE
f1149510,Population_American_Indian_Alaska_Native_Male_5_9=2010,EXTENSIVE
f1149610,Population_American_Indian_Alaska_Native_Female_5_9=2010,EXTENSIVE
f1149710,Population_American_Indian_Alaska_Native_Male_10_14=2010,EXTENSIVE
f1149810,Population_American_Indian_Alaska_Native_Female_10_14=2010,EXTENSIVE
f1149910,Population_American_Indian_Alaska_Native_Male_15_19=2010,EXTENSIVE
f1150010,Population_American_Indian_Alaska_Native_Female_15_19=2010,EXTENSIVE
f1150110,Population_American_Indian_Alaska_Native_Male_20_24=2010,EXTENSIVE
