k,merge_gap
2,8.63554817438508
4,1.9485351778279902
7,1.2763187842193213
3,0.6562909968533521
8,0.47732817384083326
12,0.3464363443864311
13,0.30201470096956307
6,0.26128366371562706
24,0.20100005152207778
9,0.1631458328356743
22,0.16290771396531056
21,0.16199106333342428
36,0.14131624064547577
10,0.14107249203074446
25,0.13755625851179598
17,0.13143395435336203
27,0.11461064196117299
18,0.1122358636552736
58,0.10738946589949716
45,0.10047689541787896
55,0.09464348372119957
85,0.09336706758640023
59,0.09055633794905527
40,0.08647055911737578
31,0.07873277884482999
61,0.07669981575964391
14,0.0752476054428719
75,0.07275793373020756
20,0.06920461652400256
29,0.06864688169356192
110,0.06681538567245138
84,0.06057609905442307
39,0.05965780519258246
52,0.059236057618381466
34,0.05600498124577058
134,0.055174680799088716
33,0.0542220442585446
37,0.05163649947548965
19,0.05163266915118747
100,0.05105118597143132
48,0.05014566295737666
63,0.049676702163771846
28,0.04664976781007368
26,0.04515804267352852
104,0.044273063052913564
47,0.0438613614790313
62,0.0433102248185917
23,0.042613494133923346
79,0.04173099635922073
109,0.04155624116663237
96,0.039967968457648606
57,0.03772822789399921
50,0.03717191998994718
156,0.036479735692698245
54,0.035974354044258305
71,0.035766803487577103
5,0.03426535360642191
119,0.03194300166021691
115,0.031126902154905434
127,0.03031270021277166
102,0.02934616634954601
146,0.028460292422872735
78,0.027777399080340714
121,0.027148080051155876
159,0.02650136246598067
16,0.025672143125197167
237,0.024954380751627925
32,0.02494637209617867
105,0.02490432079635463
11,0.024846988918909574
103,0.024002972700559067
82,0.023792431581309614
49,0.023000184320548733
112,0.022185660738770707
64,0.02212739882075443
46,0.021949351459134014
93,0.021099490290526823
70,0.021011696010584835
275,0.02083123360530892
126,0.01976856163773766
170,0.019324395880049083
90,0.019034978463920105
117,0.0182007260220578
144,0.017948216332951183
69,0.01774347243883234
137,0.017311005722018713
131,0.016916478850700578
30,0.0168575138509226
217,0.01684960436279792
106,0.0167331517142717
97,0.01637469394705038
92,0.01604828301975747
143,0.015701416012361857
138,0.015248069324818037
157,0.015223849097494746
129,0.014431982312885783
53,0.014271329953728706
175,0.014006992201434976
87,0.013961033349129792
136,0.013144493137178248
88,0.013127115593291272
184,0.013065199515656767
125,0.013002073165548023
266,0.012989003697583934
179,0.01296650414926348
141,0.01274567704644669
226,0.012519322209796346
65,0.012086866344593883
166,0.011970234331367458
155,0.011895913888965826
67,0.011317969153318064
290,0.011292522002222638
185,0.011220498312602523
114,0.011193456726092066
360,0.01106547753434528
337,0.010648526463277852
132,0.010265557203509967
174,0.010197838291408523
42,0.009573826873399582
139,0.009521174843477365
211,0.009489318579848582
180,0.009476558728069628
223,0.009373103394502813
94,0.009351367235275632
225,0.00908843153518113
77,0.009045374774256043
212,0.008867688331804846
182,0.008744857624604974
95,0.008128676404373092
145,0.008097875104713603
120,0.008043437975459256
279,0.00796088841277287
86,0.007787510323754354
135,0.007664289228435539
239,0.007644804120253701
388,0.007614783520380808
163,0.007587611707506214
274,0.007450539448451643
152,0.007354521448687201
260,0.007293143914881783
74,0.0071427840681561605
216,0.0070421595675767
204,0.0069413082061136056
178,0.006882874403350447
81,0.006878002552299645
111,0.006781566031934805
202,0.006655206209870812
190,0.006585810382347512
251,0.006490493286875454
295,0.006475636765869597
294,0.006474852721283897
15,0.0064339484481390485
193,0.006265864456098003
142,0.006141466425451991
41,0.006115594349789255
60,0.006062903802863229
286,0.006027166168250941
394,0.006022852333704476
68,0.005877572548201648
219,0.005853806833745034
186,0.0058518773617788344
312,0.005782206609191931
124,0.005532815049071438
149,0.005492311461587018
253,0.005276732888195301
122,0.005211788692581987
101,0.0051037702374543414
116,0.005096840383646661
397,0.0050806488862789045
364,0.0050805352786493785
98,0.005053425374728082
220,0.004940987792970475
398,0.0049262190698817765
328,0.004848806004695616
241,0.0047600666059868235
201,0.004661726847080994
332,0.004658147950075131
396,0.004657265113570785
326,0.004615076933144557
256,0.004577991102216794
255,0.004552906527828471
230,0.004481125902471739
160,0.004479874560112673
183,0.004476343808111016
227,0.004434536162245983
44,0.004384728626534162
167,0.00437577586554716
72,0.004349732154944608
197,0.004291201808469536
51,0.004286603034524106
291,0.004195579590943632
158,0.0041640198015828744
336,0.004157260651596495
130,0.004122565708614356
199,0.0040095987169279645
351,0.004004418376830854
181,0.003917847570210631
91,0.003911240099678359
213,0.0038842503667868566
267,0.0037419367329829534
43,0.003724671559917958
357,0.003708306214870616
133,0.003671804752684693
285,0.003654364747484262
245,0.0036494632212187295
233,0.0036232414977441785
347,0.003602678418030525
378,0.0036016819722408666
372,0.0035719517107202226
229,0.0035315206616168826
306,0.0034336783041859498
399,0.0033418680132311085
118,0.003319622536297029
151,0.0032727137246650884
383,0.003248888963709007
344,0.0032107882263903154
189,0.003209427184518665
56,0.003180819366719767
329,0.003003911848393992
188,0.002912175039573528
384,0.002908517400588506
164,0.0029017633348964456
231,0.0029001559032915125
35,0.002892857315213604
195,0.002878662771040208
161,0.0028469923040186362
358,0.0028077024762591662
299,0.0027923360681716414
172,0.002785976547797775
215,0.0027808675930185434
238,0.002732369712795446
107,0.002667194273918927
66,0.002573407214253365
345,0.002534200296978373
319,0.0025179829357315775
236,0.0025064511020549407
173,0.00248278071649799
322,0.0024473483279201513
304,0.002444366654970498
243,0.00239059604141989
310,0.0023486545343389675
235,0.0023456211248125136
153,0.0023443268270502138
123,0.0023167589902266528
292,0.002312361931467999
379,0.0022394046861879957
331,0.002226225916444724
380,0.002215910823910816
376,0.002178990235795153
73,0.0021721927234694682
334,0.002166038315846608
208,0.002158526594266741
392,0.0021493307806541573
277,0.002134294242239987
218,0.0021143084034458415
287,0.002111328586463568
168,0.0020981088521450086
154,0.0020702139536963315
280,0.002060159146752838
359,0.0020541858933329493
342,0.0020309886634328755
369,0.0020181105790921805
305,0.001979612991201085
317,0.0019775086219804283
381,0.0019720465438155532
113,0.001951150598878737
382,0.0019312144588969904
293,0.001913716615599359
249,0.001890389098884615
320,0.0018800274652877036
355,0.0018591902578712904
258,0.0018143009401501153
350,0.001768604509845062
214,0.0017554272782944746
148,0.0017340114533490603
324,0.0017188372676455455
387,0.001696122027896152
300,0.0016924682725767415
288,0.0016594655742541153
363,0.0016365689592299226
264,0.001626605266662473
271,0.0016242271160555877
366,0.0016220421269439456
171,0.001598600805571948
99,0.0015911998122315474
207,0.001559774972083705
330,0.001538356090889037
268,0.001517116646081229
198,0.0015163483868976257
192,0.0015082624160003277
191,0.0014914157871952494
375,0.0014597323462206546
165,0.0014524644714197787
365,0.0014507470712799009
393,0.001440675505756328
140,0.0014149979636433052
176,0.0014106435830607555
302,0.0014075220508085184
169,0.0013879124758755523
250,0.0013684698949809615
278,0.0013454802786116993
221,0.0013331302895764896
374,0.001307554363749075
386,0.0012962968757215254
338,0.0012864000300207845
89,0.0012226334424036978
348,0.0012192637212420365
371,0.0012027363229827337
340,0.0011885102991715524
368,0.0011864188957362298
303,0.0011757082093304394
196,0.0011720876547780534
203,0.001159373029085975
362,0.001152423800605984
316,0.0011507520668054827
234,0.0011389115944220318
314,0.00112861770306516
252,0.0011270866520982636
321,0.0010797409806972968
308,0.0010756073389204257
296,0.0010724447702425977
356,0.0010511322885600194
297,0.0010186256028574814
222,0.0010106510809211322
187,0.0010071554889445888
276,0.0010026126693973847
346,0.0009982402876533847
307,0.000987182170388401
254,0.0009484835869888464
224,0.0009379881608602147
341,0.0009364667299411877
333,0.0009266260127729353
80,0.0009221682578011148
284,0.0009216672243539392
228,0.0008587883235529059
301,0.0008414523811359764
206,0.0008404314819026037
263,0.0008305037803462145
389,0.0008251013412681196
128,0.0008094625310204329
244,0.0008056431383962614
352,0.0007941461829947816
339,0.0007723771759065023
283,0.0007694910127171717
240,0.0007624464148325849
315,0.000750397107193157
269,0.0007495426669936744
209,0.0007388827471837001
177,0.0007299749760436569
281,0.0007194342664855746
261,0.0007159603803077452
38,0.0007080331606585943
318,0.000686581561019084
349,0.0006582548154130397
327,0.0006433578170306209
248,0.0006421256935040809
282,0.0006230596388940857
313,0.0006081896941090292
272,0.0006053028240362579
325,0.0006038168340716243
232,0.0005994935314506122
273,0.0005991288480211576
323,0.0005923282739770386
367,0.0005771478979641476
259,0.0005676072665199428
108,0.0005513802130505674
361,0.0004799388724523457
83,0.00047655596372209175
150,0.00047562358545438777
298,0.00045524050003531435
205,0.0004500739749964122
311,0.00042739441063965877
246,0.00041709708198633955
395,0.00040953742572846785
210,0.00040887831069835734
262,0.0003830865170786346
147,0.0003821729021709075
343,0.0003642744114462637
391,0.0003268381601497783
194,0.0003233952329457779
257,0.00029698477390494027
353,0.0002942991062939715
