metric,raw_year,pop_year,description
f1200518,2018,2018,Medical_Doctors_Family_Medical_Medicine_General_Other=2018
f1200618,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialty_Total=2018
f1200718,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Total_Patient_Care=2018
f1200818,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Patient_Care_Office_Based=2018
f1201118,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Hospital_Full_Time_Staff=2018
f1201218,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Administration=2018
f1201318,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Teaching=2018
f1201418,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Research=2018
f1201518,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Other=2018
f1201618,2018,2018,Total_M.D.'s_65_74=2018
f1201718,2018,2018,Total_M.D.'s_75_+=2018
f1201818,2018,2018,Medical_Doctors_Total_General_Practice_65_74=2018
f1201918,2018,2018,Medical_Doctors_Total_General_Practice_75_+=2018
f1202018,2018,2018,Medical_Doctors_General_Practice_65_74=2018
f1202118,2018,2018,Medical_Doctors_General_Practice_75_+=2018
f1202218,2018,2018,Medical_Doctors_Family_Medical_Medicine_General_<_35=2018
f1202318,2018,2018,Medical_Doctors_Family_Medical_Medicine_General_35_44=2018
f1202418,2018,2018,Medical_Doctors_Family_Medical_Medicine_General_45_54=2018
f1202518,2018,2018,Medical_Doctors_Family_Medical_Medicine_General_55_64=2018
f1202618,2018,2018,Medical_Doctors_Family_Medical_Medicine_General_65_74=2018
f1202718,2018,2018,Medical_Doctors_Family_Medical_Medicine_General_75_+=2018
f1202818,2018,2018,Medical_Doctors_Family_Practice_Subspecialties_<_35=2018
f1202918,2018,2018,Medical_Doctors_Family_Practice_Subspecialties_35_44=2018
f1203018,2018,2018,Medical_Doctors_Family_Practice_Subspecialties_45_54=2018
f1203118,2018,2018,Medical_Doctors_Family_Practice_Subspecialties_55_64=2018
f1203218,2018,2018,Medical_Doctors_Family_Practice_Subspecialties_65_74=2018
f1203318,2018,2018,Medical_Doctors_Family_Practice_Subspecialties_75_+=2018
f1203418,2018,2018,Medical_Specialty_Total_65_74=2018
f1203518,2018,2018,Medical_Specialty_Total_75_+=2018
f1203618,2018,2018,Allergy_&_Immunology_65_74=2018
f1203718,2018,2018,Allergy_&_Immunology_75_+=2018
f1203818,2018,2018,Cardiovascular_Diseases_65_74=2018
f1203918,2018,2018,Cardiovascular_Diseases_75_+=2018
f1204018,2018,2018,Dermatology_65_74=2018
f1204118,2018,2018,Dermatology_75_+=2018
f1204218,2018,2018,Gastroenterology_65_74=2018
f1204318,2018,2018,Gastroenterology_75_+=2018
f1204418,2018,2018,General_Internal_Medical_Medicine_65_74=2018
f1204518,2018,2018,General_Internal_Medical_Medicine_75_+=2018
f1204618,2018,2018,Internal_Medical_Medicine_Subspecialties_65_74=2018
f1204718,2018,2018,Internal_Medical_Medicine_Subspecialties_75_+=2018
f1204818,2018,2018,Pediatrics_General_65_74=2018
f1204918,2018,2018,Pediatrics_General_75_+=2018
f1205018,2018,2018,Pediatric_Subspecialties_65_74=2018
f1205118,2018,2018,Pediatric_Subspecialties_75_+=2018
f1205218,2018,2018,Pediatric_Cardiology_65_74=2018
f1205318,2018,2018,Pediatric_Cardiology_75_+=2018
f1205418,2018,2018,Pulmonary_Diseases_65_74=2018
f1205518,2018,2018,Pulmonary_Diseases_75_+=2018
f1205618,2018,2018,Surgical_Specialty_Total_65_74=2018
f1205718,2018,2018,Surgical_Specialty_Total_75_+=2018
f1205818,2018,2018,General_Surgery_65_74=2018
f1205918,2018,2018,General_Surgery_75_+=2018
f1206018,2018,2018,Neurological_Surgery_65_74=2018
f1206118,2018,2018,Neurological_Surgery_75_+=2018
f1206218,2018,2018,Obstetrics_Gynecology_General_65_74=2018
f1206318,2018,2018,Obstetrics_Gynecology_General_75_+=2018
f1206418,2018,2018,Obstetrics_Gynecology_Subspecialties_65_74=2018
f1206518,2018,2018,Obstetrics_Gynecology_Subspecialties_75_+=2018
f1206618,2018,2018,Ophthalmology_65_74=2018
