metric,raw_year,pop_year,description
f1318218,2018,2018,Population_(Persons)=2018
f1318318,2018,2018,Dentists_Total_Professional_Active=2018
f1318418,2018,2018,Dentists_Armed_Forces_&_Other_Federal_Service=2018
f1318518,2018,2018,#_Psychiatric_Short_Term_Hospital=2018
f1318618,2018,2018,#_Rehabilitation_State_Hospital=2018
f1318718,2018,2018,#_Children's_Psychiatric_State_Hospital=2018
f1318818,2018,2018,Inpatient_Days_in_State_Psychiatric=2018
f1318918,2018,2018,Inpatient_Days_in_State_Rehabilitation=2018
f1319018,2018,2018,Inpatient_Days_in_State_Children_Psychiatric=2018
f1319119,2019,2019,#_Eligible_for_Medicare=2019
f1319219,2019,2019,#_Medicare_Advantage_Enrollees=2019
f1321119,2019,2019,#_Skilled_Nursing_Facilities=2019
f1321219,2019,2019,Skilled_Nursing_Facility_Total_Beds=2019
f1321319,2019,2019,Skilled_Nursing_Facility_Certified_Beds=2019
f1321419,2019,2019,#_Home_Health_Agencies=2019
f1321519,2019,2019,#_Nursing_Facilities=2019
f1321619,2019,2019,Nursing_Facilities_Total_Beds=2019
f1321719,2019,2019,Nursing_Facilities_Certified_Beds=2019
f1321819,2019,2019,#_Rural_Health_Clinics=2019
f1321919,2019,2019,#_Ambulatory_Surgery_Centers=2019
f1322019,2019,2019,#_Hospices=2019
f1322119,2019,2019,#_Community_Mental_Health_Center=2019
f1322318,2018,2018,Persons_in_Poverty=2018
f1322418,2018,2018,Persons_Age_0_17_in_Poverty=2018
f1322518,2018,2018,Related_Children_5_17_in_Family_in_Poverty=2018
f1328218,2018,2018,Dentists_Staff_Facility_&_Staff_Health_Organization=2018
f1328318,2018,2018,Dentists_Other_Occupation=2018
f1328418,2018,2018,Dentists_No_Longer_in_Practice=2018
f1328518,2018,2018,#_Active_Dentists_Age_Unknown=2018
f1328618,2018,2018,Dentists_Dental_School_Faculty=2018
f1330918,2018,2018,Other_Intensive_Care_Bed_Set_Up=2018
f1331018,2018,2018,#_Hospital_with_Other_Intensive_Care=2018
f1331118,2018,2018,Acute_Long_Term_Care_Beds_Set_Up=2018
f1331218,2018,2018,#_Hospital_with_Acute_Long_Term_Care=2018
f1331318,2018,2018,#_Hospital_with_Auxiliary_Services=2018
f1331418,2018,2018,#_Hospital_with_Chiropractic_Services=2018
f1331518,2018,2018,#Hispanic_with_Complementary_Alternative_Medical_Medicine_Service=2018
f1331718,2018,2018,#_Hospital_with_Pain_Management_Program=2018
f1331818,2018,2018,#_Operating_Rooms=2018
f1332019,2019,2019,#_Federal_Qualified_Health_Centers=2019
f1332510,2010,2010,Total_Population_One_Race=2010
f1332610,2010,2010,Asian_Population=2010
f1332710,2010,2010,Native_Hawaii_Other_Pacific_Islander_Population=2010
f1332810,2010,2010,Two_or_more_Races_Population=2010
f1334410,2010,2010,Population_Asian_Male_<_5=2010
f1334510,2010,2010,Population_Asian_Female_<_5=2010
f1334610,2010,2010,Population_Asian_Male_5_9=2010
f1334710,2010,2010,Population_Asian_Female_5_9=2010
f1334810,2010,2010,Population_Asian_Male_10_14=2010
f1334910,2010,2010,Population_Asian_Female_10_14=2010
f1335010,2010,2010,Population_Asian_Male_15_19=2010
f1335110,2010,2010,Population_Asian_Female_15_19=2010
f1335210,2010,2010,Population_Asian_Male_20_24=2010
f1335310,2010,2010,Population_Asian_Female_20_24=2010
f1335410,2010,2010,Population_Asian_Male_25_29=2010
f1335510,2010,2010,Population_Asian_Female_25_29=2010
f1335610,2010,2010,Population_Asian_Male_30_34=2010
f1335710,2010,2010,Population_Asian_Female_30_34=2010
f1335810,2010,2010,Population_Asian_Male_35_44=2010
f1335910,2010,2010,Population_Asian_Female_35_44=2010
f1336010,2010,2010,Population_Asian_Male_45_54=2010
f1336110,2010,2010,Population_Asian_Female_45_54=2010
f1336210,2010,2010,Population_Asian_Male_55_59=2010
f1336310,2010,2010,Population_Asian_Female_55_59=2010
f1336410,2010,2010,Population_Asian_Male_60_64=2010
f1336510,2010,2010,Population_Asian_Female_60_64=2010
f1336610,2010,2010,Population_Asian_Male_65_74=2010
f1336710,2010,2010,Population_Asian_Female_65_74=2010
f1336810,2010,2010,Population_Asian_Male_75_84=2010
f1336910,2010,2010,Population_Asian_Female_75_84=2010
f1337010,2010,2010,Population_Asian_Male_>_84=2010
f1337110,2010,2010,Population_Asian_Female_>_84=2010
f1337210,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_<_5=2010
f1337310,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_<_5=2010
f1337410,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_5_9=2010
f1337510,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_5_9=2010
f1337610,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_10_14=2010
f1337710,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_10_14=2010
f1337810,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_15_19=2010
f1337910,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_15_19=2010
f1338010,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_20_24=2010
f1338110,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_20_24=2010
f1338210,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_25_29=2010
f1338310,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_25_29=2010
f1338410,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_30_34=2010
f1338510,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_30_34=2010
f1338610,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_35_44=2010
f1338710,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_35_44=2010
f1338810,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_45_54=2010
f1338910,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_45_54=2010
f1339010,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_55_59=2010
f1339110,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_55_59=2010
f1339210,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_60_64=2010
f1339310,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_60_64=2010
f1339410,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_65_74=2010
f1339510,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_65_74=2010
f1339610,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_75_84=2010
f1339710,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_75_84=2010
f1339810,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Male_>_84=2010
f1339910,2010,2010,Population_Native_Hawaii_Other_Pacific_Islander_Female_>_84=2010
f1340010,2010,2010,Population_Two_or_more_Races_Male_<_5=2010
f1340110,2010,2010,Population_Two_or_more_Races_Female_<_5=2010
f1340210,2010,2010,Population_Two_or_more_Races_Male_5_9=2010
f1340310,2010,2010,Population_Two_or_more_Races_Female_5_9=2010
f1340410,2010,2010,Population_Two_or_more_Race_Male_10_14=2010
f1340510,2010,2010,Population_Two_or_more_Race_Female_10_14=2010
f1340610,2010,2010,Population_Two_or_more_Race_Male_15_19=2010
f1340710,2010,2010,Population_Two_or_more_Race_Female_15_19=2010
f1340810,2010,2010,Population_Two_or_more_Race_Male_20_24=2010
f1340910,2010,2010,Population_Two_or_more_Race_Female_20_24=2010
f1341010,2010,2010,Population_Two_or_more_Race_Male_25_29=2010
f1341110,2010,2010,Population_Two_or_more_Race_Female_25_29=2010
f1341210,2010,2010,Population_Two_or_more_Race_Male_30_34=2010
f1341310,2010,2010,Population_Two_or_more_Race_Female_30_34=2010
f1341410,2010,2010,Population_Two_or_more_Race_Male_35_44=2010
f1341510,2010,2010,Population_Two_or_more_Race_Female_35_44=2010
f1341610,2010,2010,Population_Two_or_more_Race_Male_45_54=2010
f1341710,2010,2010,Population_Two_or_more_Race_Female_45_54=2010
f1341810,2010,2010,Population_Two_or_more_Race_Male_55_59=2010
f1341910,2010,2010,Population_Two_or_more_Race_Female_55_59=2010
f1342010,2010,2010,Population_Two_or_more_Race_Male_60_64=2010
f1342110,2010,2010,Population_Two_or_more_Race_Female_60_64=2010
f1342210,2010,2010,Population_Two_or_more_Race_Male_65_74=2010
f1342310,2010,2010,Population_Two_or_more_Race_Female_65_74=2010
f1342410,2010,2010,Population_Two_or_more_Race_Male_75_84=2010
f1342510,2010,2010,Population_Two_or_more_Race_Female_75_84=2010
f1342610,2010,2010,Population_Two_or_more_Races_Male_>_84=2010
f1342710,2010,2010,Population_Two_or_more_Races_Female_>_84=2010
f1342810,2010,2010,Population_White_Non_Hispanic_Male_<_5=2010
f1342910,2010,2010,Population_White_Non_Hispanic_Female_<_5=2010
f1343010,2010,2010,Population_White_Non_Hispanic_Male_5_9=2010
f1343110,2010,2010,Population_White_Non_Hispanic_Female_5_9=2010
f1343210,2010,2010,Population_White_Non_Hispanic_Male_10_14=2010
f1343310,2010,2010,Population_White_Non_Hispanic_Female_10_14=2010
f1343410,2010,2010,Population_White_Non_Hispanic_Male_15_19=2010
f1343510,2010,2010,Population_White_Non_Hispanic_Female_15_19=2010
f1343610,2010,2010,Population_White_Non_Hispanic_Male_20_24=2010
f1343710,2010,2010,Population_White_Non_Hispanic_Female_20_24=2010
f1343810,2010,2010,Population_White_Non_Hispanic_Male_25_29=2010
f1343910,2010,2010,Population_White_Non_Hispanic_Female_25_29=2010
f1344010,2010,2010,Population_White_Non_Hispanic_Male_30_34=2010
f1344110,2010,2010,Population_White_Non_Hispanic_Female_30_34=2010
f1344210,2010,2010,Population_White_Non_Hispanic_Male_35_44=2010
f1344310,2010,2010,Population_White_Non_Hispanic_Female_35_44=2010
f1344410,2010,2010,Population_White_Non_Hispanic_Male_45_54=2010
f1344510,2010,2010,Population_White_Non_Hispanic_Female_45_54=2010
f1344610,2010,2010,Population_White_Non_Hispanic_Male_55_59=2010
f1344710,2010,2010,Population_White_Non_Hispanic_Female_55_59=2010
f1344810,2010,2010,Population_White_Non_Hispanic_Male_60_64=2010
f1344910,2010,2010,Population_White_Non_Hispanic_Female_60_64=2010
f1345010,2010,2010,Population_White_Non_Hispanic_Male_65_74=2010
f1345110,2010,2010,Population_White_Non_Hispanic_Female_65_74=2010
f1345210,2010,2010,Population_White_Non_Hispanic_Male_75_84=2010
f1345310,2010,2010,Population_White_Non_Hispanic_Female_75_84=2010
f1345410,2010,2010,Population_White_Non_Hispanic_Male_>_84=2010
f1345510,2010,2010,Population_White_Non_Hispanic_Female_>_84=2010
f1346010,2010,2010,#_Asian_Households=2010
f1346110,2010,2010,#_Native_Hawaii_Other_Pacific_Islander_Households=2010
f1346210,2010,2010,#_Two_or_more_Races_Households=2010
f1346310,2010,2010,#_White_Household_with_Husband_Wife_Family=2010
f1346410,2010,2010,#_Black_African_American_Household_with_Husband_Wife_Family=2010
f1346510,2010,2010,#American_Indian_Alaska_Native_Native_with_Husband_Wife_Family=2010
f1346610,2010,2010,#_Asian_Household_with_Husband_Wife_Family=2010
f1346710,2010,2010,#Native_Hawaiian_Other_Pacific_Islander_with_Husband_Wife_Family=2010
f1346810,2010,2010,#Some_Other_Race_Households_with_Husband_Wife_Family=2010
f1346910,2010,2010,#Two_+_Races_Households_with_Husband_Wife_Family=2010
f1347010,2010,2010,#_Hispanic_Latino_Household_with_Husband_Wife_Family=2010
f1347110,2010,2010,#_Single_Parent_Households_Asian=2010
f1347210,2010,2010,#_Single_Parent_Household_Hawaiian_Other_Pacific_Islander=2010
f1347310,2010,2010,#_Single_Parent_Household_Other_Race=2010
f1347410,2010,2010,#_Single_Parent_Household_Two+_Races=2010
f1348010,2010,2010,Unmarried_Partner_Household_Different_Sex=2010
f1348110,2010,2010,Unmarried_Partner_Households_Male=2010
f1348210,2010,2010,Unmarried_Partner_Households_Female=2010
f1351510,2010,2010,Housing_Units=2010
f1351610,2010,2010,American_Indian_Apache_Population=2010
f1351710,2010,2010,American_Indian_Blackfeet_Population=2010
f1351810,2010,2010,American_Indian_Cherokee_Population=2010
f1351910,2010,2010,American_Indian_Cheyenne_Population=2010
f1352010,2010,2010,American_Indian_Chickasaw_Population=2010
f1352110,2010,2010,American_Indian_Chippewa_Population=2010
f1352210,2010,2010,American_Indian_Choctaw_Population=2010
f1352310,2010,2010,American_Indian_Colville_Population=2010
f1352410,2010,2010,American_Indian_Comanche_Population=2010
f1352510,2010,2010,American_Indian_Cree_Population=2010
f1352610,2010,2010,American_Indian_Creek_Population=2010
f1352710,2010,2010,American_Indian_Crow_Population=2010
f1352810,2010,2010,American_Indian_Delaware_Population=2010
f1352910,2010,2010,American_Indian_Houma_Population=2010
f1353010,2010,2010,American_Indian_Iroquois_Population=2010
f1353110,2010,2010,American_Indian_Kiowa_Population=2010
f1353310,2010,2010,American_Indian_Lumbee_Population=2010
f1353410,2010,2010,American_Indian_Menominee_Population=2010
f1353510,2010,2010,American_Indian_Navajo_Population=2010
f1353610,2010,2010,American_Indian_Osage_Population=2010
f1353710,2010,2010,American_Indian_Ottawa_Population=2010
f1353810,2010,2010,American_Indian_Paiute_Population=2010
f1353910,2010,2010,American_Indian_Pima_Population=2010
f1354010,2010,2010,American_Indian_Potawatomi_Population=2010
f1354110,2010,2010,American_Indian_Pueblo_Population=2010
f1354210,2010,2010,American_Indian_Puget_Sound_Salish_Population=2010
f1354310,2010,2010,American_Indian_Seminole_Population=2010
f1354410,2010,2010,American_Indian_Shoshone_Population=2010
f1354510,2010,2010,American_Indian_Sioux_Population=2010
f1354610,2010,2010,American_Indian_Tohono_O'Odham_Population=2010
f1354710,2010,2010,American_Indian_Ute_Population=2010
f1354810,2010,2010,American_Indian_Yakama_Population=2010
f1354910,2010,2010,American_Indian_Yaqui_Population=2010
f1355010,2010,2010,American_Indian_Yuman_Population=2010
f1355110,2010,2010,American_Indian_All_Other_Tribes_Population=2010
f1355210,2010,2010,American_Indian_Tribe_Unspecified_Population=2010
f1355310,2010,2010,Alaska_Native_Alaska_Athabascan_Population=2010
f1355410,2010,2010,Alaska_Native_Aleutian_Population=2010
f1355610,2010,2010,Alaska_Native_Tlingit_Haida_Population=2010
f1355810,2010,2010,Alaska_Native_Tribe_Unspecified_Population=2010
f1355910,2010,2010,American_Indian_Alaska_Tribe_Unspecified_Population=2010
f1356010,2010,2010,Asian_Asian_Indian_Population=2010
f1356110,2010,2010,Asian_Bangladeshi_Population=2010
f1356210,2010,2010,Asian_Cambodian_Population=2010
f1356310,2010,2010,Asian_Chinese_Population_Excluding_Taiwanese=2010
f1356410,2010,2010,Asian_Filipino_Population=2010
f1356510,2010,2010,Asian_Hmong_Population=2010
f1356610,2010,2010,Asian_Indonesian_Population=2010
f1356710,2010,2010,Asian_Japanese_Population=2010
f1356810,2010,2010,Asian_Korean_Population=2010
f1356910,2010,2010,Asian_Laotian_Population=2010
f1357010,2010,2010,Asian_Malaysian_Population=2010
f1357110,2010,2010,Asian_Pakistani_Population=2010
f1357210,2010,2010,Asian_Sri_Lankan_Population=2010
f1357310,2010,2010,Asian_Taiwanese_Population=2010
f1357410,2010,2010,Asian_Thai_Population=2010
f1357510,2010,2010,Asian_Vietnamese_Population=2010
f1357610,2010,2010,Asian_Other_Population=2010
f1357710,2010,2010,Asian_Other_Unspecified_Population=2010
f1357810,2010,2010,Polynesian_Native_Hawaiian_Population=2010
f1357910,2010,2010,Polynesian_Samoan_Population=2010
f1358010,2010,2010,Polynesian_Tongan_Population=2010
f1358110,2010,2010,Polynesian_Other_Population=2010
f1358210,2010,2010,Micronesian_Guamanian_Chamorro_Population=2010
f1358310,2010,2010,Micronesian_Other_Population=2010
f1358410,2010,2010,Melanesian_Fijian_Population=2010
f1358510,2010,2010,Melanesian_Other_Population=2010
f1358610,2010,2010,Other_Pacific_Islander_Unspecified_Population=2010
f1358710,2010,2010,Hispanic_Latino_Origin_Mexican_Population=2010
f1358810,2010,2010,Hispanic_Latino_Origin_Puerto_Rican_Population=2010
f1358910,2010,2010,Hispanic_Latino_Origin_Cuban_Population=2010
f1359010,2010,2010,Hispanic_Latino_Origin_Dominican_Population=2010
f1359110,2010,2010,Hispanic_Latino_Origin_Central_American_Population=2010
f1359210,2010,2010,Hispanic_Latino_Origin_South_American_Population=2010
f1359310,2010,2010,Hispanic_Latino_Origin_Other_Hispanic_Population=2010
f1359420,2020,2020,Veteran_Population_Estimate_Male=2020
f1359520,2020,2020,Veteran_Population_Estimate_Female=2020
f1360116,2017,2017,3_Year_White_Births=2016-18
f1360216,2017,2017,3_Year_Black_Births=2016-18
f1360316,2017,2017,3_Year_Other_Births=2016-18
f1360416,2017,2017,3_Year_Hispanic_Births=2016-18
f1360516,2017,2017,3_Year_Very_Low_Birth_Weight_Births=2016-18
f1360616,2017,2017,3_Year_Births_to_Teens_<_18_Years=2016-18
f1360816,2017,2017,3_Year_Births_Preterm=2016-18
f1361318,2018,2018,#_Hospital_with_Ambulance_Services=2018
f1361418,2018,2018,#_Hospital_with_Enabling_Services=2018
f1361518,2018,2018,#_Hospital_with_Palliative_Care_Program=2018
f1361618,2018,2018,#_Hospital_with_Enroll(Insurance)Assist_Program=2018
f1361718,2018,2018,#_Hospital_with_Hemodialysis=2018
f1361818,2018,2018,#_Hospital_with_Sleep_Center=2018
f1361918,2018,2018,#_Hospital_with_Tobacco_Treatment_Service=2018
f1363518,2018,2018,Vascular_Medical_Medicine_Total=2018
f1363618,2018,2018,Vascular_Medical_Medicine_Total_Patient_Care=2018
f1363718,2018,2018,Vascular_Medical_Medicine_Patient_Care_Office_Based=2018
f1363818,2018,2018,Vascular_Medical_Medicine_Patient_Care_Hospital_Resident=2018
f1363918,2018,2018,Vascular_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018
f1364218,2018,2018,Vascular_Medical_Medicine_Research=2018
f1364418,2018,2018,Vascular_Medicine_<_35=2018
f1364518,2018,2018,Vascular_Medicine_35_44=2018
f1364618,2018,2018,Vascular_Medicine_45_54=2018
f1364718,2018,2018,Vascular_Medicine_55_64=2018
f1364818,2018,2018,Vascular_Medicine_65_74=2018
f1364918,2018,2018,Vascular_Medicine_75_+=2018
f1365018,2018,2018,Transplant_Surgical_Total=2018
f1365118,2018,2018,Transplant_Surgical_Total_Patient_Care=2018
f1365218,2018,2018,Transplant_Surgical_Patient_Care_Office_Based=2018
f1365418,2018,2018,Transplant_Surgical_Patient_Care_Hospital_Full_Time_Staff=2018
f1365518,2018,2018,Transplant_Surgical_Administration=2018
f1365618,2018,2018,Transplant_Surgical_Teaching=2018
f1365718,2018,2018,Transplant_Surgical_Research=2018
f1366018,2018,2018,Transplantation_Surgery_35_44=2018
f1366118,2018,2018,Transplantation_Surgery_45_54=2018
f1366218,2018,2018,Transplantation_Surgery_55_64=2018
f1366318,2018,2018,Transplantation_Surgery_65_74=2018
f1366418,2018,2018,Transplantation_Surgery_75_+=2018
f1366510,2010,2010,Physician_Assist_Gender_Unknown=2010
f1366610,2010,2010,Physician_Assistants_Active=2010
f1366701,2001,2001,Chiropractors=2001
f1367501,2001,2001,Nurse_Practitioners=2001
f1368000,2000,2000,Rural_Nonfarm_Population=2000
f1387016,2017,2017,3_Year_Births_to_Unmarried_Mother=2016-18
f1387818,2018,2018,M.D.'s_Total_Inactive=2018
f1387918,2018,2018,Total_Doctors_of_Osteopathic_Medicine_Total_Non_Federal_&_Federal=2018
f1388018,2018,2018,Total_Doctors_of_Osteopathic_Medicine_Total_Non_Federal=2018
f1388118,2018,2018,Total_Doctors_of_Osteopathic_Medicine_Total_Federal=2018
f1388218,2018,2018,Total_Active_D.O.s_Non_Federal_&_Federal=2018
f1388318,2018,2018,Total_Active_D.O.s_Non_Federal=2018
f1388418,2018,2018,Total_Active_D.O.s_Federal=2018
f1390618,2018,2018,Population_Total_Male=2018
f1390718,2018,2018,Population_Total_Female=2018
f1390818,2018,2018,Population_White_Male=2018
f1390918,2018,2018,Population_White_Female=2018
f1391018,2018,2018,Population_Black_African_American_Male=2018
f1391118,2018,2018,Population_Black_African_American_Female=2018
f1391218,2018,2018,Population_American_Indian_Alaska_Native_Male=2018
f1391318,2018,2018,Population_American_Indian_Alaska_Native_Female=2018
f1391418,2018,2018,Population_Asian_Male=2018
f1391518,2018,2018,Population_Asian_Female=2018
f1391618,2018,2018,Population_Native_Hawaii_Other_Pacific_Islander_Male=2018
f1391718,2018,2018,Population_Native_Hawaii_Other_Pacific_Islander_Female=2018
f1391818,2018,2018,Population_Two_or_more_Races_Male=2018
f1391918,2018,2018,Population_Two_or_more_Races_Female=2018
f1392018,2018,2018,Population_Total_Hispanic_Latino_Male=2018
f1392118,2018,2018,Population_Total_Hispanic_Latino_Female=2018
f1392218,2018,2018,Population_Total_Non_Hispanic_Latino_Male=2018
f1392318,2018,2018,Population_Total_Non_Hispanic_Latino_Female=2018
f1392418,2018,2018,Population_White_Hispanic_Latino_Male=2018
f1392518,2018,2018,Population_White_Hispanic_Latino_Female=2018
f1392618,2018,2018,Population_White_Non_Hispanic_Latino_Male=2018
f1392718,2018,2018,Population_White_Non_Hispanic_Latino_Female=2018
f1392818,2018,2018,#_Hospital_with_Airborne_Infection_Isolation_Room=2018
f1392918,2018,2018,#_Airborne_Infection_Isolation_Rooms=2018
f1393018,2018,2018,#_Hospital_with_Bariatric_Weight_Control_Service=2018
f1393118,2018,2018,#_Hospital_with_Chaplain_Pastor_Care_Service=2018
f1393218,2018,2018,#_Hospital_with_Linguistic_Translation_Service=2018
f1393318,2018,2018,#_Hospital_with_Neurological_Services=2018
f1393418,2018,2018,#_Hospital_with_Orthopedic_Services=2018
f1393518,2018,2018,#_Hospital_with_Swing_Bed_Services=2018
f1393618,2018,2018,#_Hospital_with_Wound_Management_Services=2018
f1395810,2010,2010,Physician_Assistants_Inactive=2010
f1395903,2003,2003,Physician_Assistants_Primary_Care=2003
f1396003,2003,2003,Physician_Assistants_Surgical_Specialty=2003
f1396103,2003,2003,Physician_Assistants_Other_Specialty=2003
f1396203,2003,2003,Physician_Assistants_Unknown_Specialty=2003
f1396313,2013,2013,Certified_Nurse_Midwives=2013
f1396403,2003,2003,Certified_Nurse_Midwives_Full_Time=2003
f1396503,2003,2003,Certified_Nurse_Midwives_Partial_Time=2003
f1396603,2003,2003,Certified_Nurse_Midwives_Retired_Not_Employment=2003
f1396703,2003,2003,Certified_Nurse_Midwife_Unknown_Employment_Statistical=2003
f1396803,2003,2003,Certified_Nurse_Midwives_Full_Time_Hospital_Medical_Medicine=2003
f1396903,2003,2003,Certified_Nurse_Midwives_Full_Time_Midwife_Physical_Practice=2003
f1397003,2003,2003,Certified_Nurse_Midwives_Full_Time_Education_Institute=2003
f1397103,2003,2003,Certified_Nurse_Midwives_Full_Time_Other_Employment_Type=2003
f1397203,2003,2003,Certified_Nurse_Midwives_Full_Time_Unknown_Employment_Type=2003
f1397715,2015,2015,Population_Loss_Typology_Code=2015
f1397918,2018,2018,Population_Black_African_American_Non_Hispanic_Latino_Male=2018
f1398018,2018,2018,Population_Black_African_American_Non_Hispanic_Latino_Female=2018
f1398118,2018,2018,Population_Black_African_Hispanic_Latino_Male=2018
f1398218,2018,2018,Population_Black_African_Hispanic_Latino_Female=2018
f1399919,2019,2019,Population_Estimate_in_Group_Quarters=2019
f1400018,2018,2018,#_Hospital_with_Alzheimer_Center=2018
f1400218,2018,2018,#_Hospital_with_Chemotherapy=2018
f1400418,2018,2018,#Hispanic_with_Intensive_Modulated_Radiation_Therapy=2018
f1400518,2018,2018,#Hispanic_with_Electronic_Beam_Computed_Tomography=2018
f1400618,2018,2018,#Hispanic_with_Multislice_Spanish_Combined_Tomography_<64=2018
f1400718,2018,2018,#_Hospital_with_Fertility_Clinic=2018
f1400818,2018,2018,#Hospital_with_Genetic_Test_Counseling=2018
f1400918,2018,2018,Nursing_Assistive_Personnel_Full_Time=2018
f1401118,2018,2018,Nursing_Assistive_Personnel_Partial_Time=2018
f1403118,2018,2018,#_Critical_Access_Hospitals=2018
f1403218,2018,2018,#_Critical_Access_State_General_Hospital=2018
f1403318,2018,2018,#_Rural_Referral_Centers=2018
f1403418,2018,2018,#_Sole_Community_Providers=2018
f1403518,2018,2018,#_Hospital_with_Hospitalists_Care=2018
f1404118,2018,2018,Licensed_Beds_Total_Hospital=2018
f1404218,2018,2018,Licensed_Beds_Short_Term_Hospital=2018
f1404318,2018,2018,Licensed_Beds_Short_Non_General_Hospital=2018
f1404418,2018,2018,Licensed_Beds_Long_Term_Hospital=2018
f1404518,2018,2018,Licensed_Nursing_Home_Beds=2018
f1404618,2018,2018,Licensed_Nursing_Home_Beds_Short_Term_General=2018
f1404718,2018,2018,Licensed_Nursing_Home_Beds_Short_Term_Non_General=2018
f1404818,2018,2018,Licensed_Nursing_Home_Beds_Long_Term=2018
f1404918,2018,2018,Nursing_Home_Beds_Total_Hospital=2018
f1405018,2018,2018,Nursing_Home_Beds_State_General_Hospital=2018
f1405118,2018,2018,Nursing_Home_Beds_Short_Term_Non_General_Hospital=2018
f1405218,2018,2018,Nursing_Home_Beds_Long_Term_Hospital=2018
f1405318,2018,2018,Nursing_Home_Admissions_Total_Hospital=2018
f1405418,2018,2018,Nursing_Home_Admissions_Short_Term_General_Hospital=2018
f1405518,2018,2018,Nursing_Home_Admissions_Short_Term_Non_General_Long_Term=2018
f1405618,2018,2018,Nursing_Home_Inpatient_Days=2018
f1405718,2018,2018,Nursing_Home_Inpatient_Days_Short_Term_General=2018
f1405818,2018,2018,Nursing_Home_Inpatient_Days_Short_Term_Non_General_Long_Term=2018
f1406818,2018,2018,#_Hospital_with_Adult_Diagnostic_Catheterization=2018
f1406918,2018,2018,#_Hospital_with_Pediatric_Diagnostic_Catheterization=2018
f1407018,2018,2018,#Hispanic_with_Adult_Intervntnl_Cardiac_Catheterization=2018
f1407118,2018,2018,#Hispanic_with_Pediatric_Intervntnl_Cardiac_Catheterization=2018
f1407218,2018,2018,#_Hospital_with_Adult_Cardiac_Surgery=2018
f1407318,2018,2018,#_Hospital_with_Pediatric_Cardiac_Surgery=2018
f1407418,2018,2018,#_Hospital_with_Patient_Control_Analgesia=2018
f1407518,2018,2018,#_Hospital_with_Shaped_Beam_Radiation_System=2018
f1407618,2018,2018,#Hispanic_with_Bone_Marrow_Transplant_Service=2018
f1407718,2018,2018,#_Hospital_with_Heart_Transplant=2018
f1407818,2018,2018,#_Hospital_with_Kidney_Transplant=2018
f1407918,2018,2018,#_Hospital_with_Liver_Transplant=2018
f1408018,2018,2018,#_Hospital_with_Lung_Transplant=2018
f1408118,2018,2018,#_Hospital_with_Tissue_Transplant=2018
f1408218,2018,2018,#_Hospital_with_Other_Transplant_Service=2018
f1408318,2018,2018,Population_Estimate_65+=2018
f1408417,2017,2017,Food_Stamp_Supplemental_Nutrition_Assistance_Program_Recipients=2017
f1409118,2018,2018,Housing_Units_Estimates=2018
f1409218,2018,2018,Dentists_Partial_Time_Faculty_Partial_Time_Practice=2018
f1409318,2018,2018,Dentists_Seeking_Employment=2018
f1409418,2018,2018,Dentists_Occupation_Type_Unknown=2018
f1409518,2018,2018,Dentists_Gender_Unknown_Private_Practice=2018
f1409618,2018,2018,#_Hospital_with_Blood_Donor_Center=2018
f1409718,2018,2018,#_Hospital_with_Cardiac_Rehabilitation=2018
f1409818,2018,2018,#_Hospital_with_Computer_Assistant_Orthopedic_Surgical=2018
f1410018,2018,2018,#_Hospital_with_Indigent_Care_Clinic=2018
f1410118,2018,2018,#_Hospital_with_Mobile_Health_Services=2018
f1410218,2018,2018,#_Hospital_with_Image_guided_Radiation_Therapy=2018
f1410318,2018,2018,#_Hospital_with_Full_field_Digital_Mammography=2018
